Intel Name,Intel Source,Intel Source Link,Intel Summary,Impact,Date of Scan,Intel Push to ATS
Web Skimmer Campaign,Palo Alto,https://unit42.paloaltonetworks.com/web-skimmer-video-distribution/,"Researchers at Unit42 has found a supply chain attack leveraging a cloud video platform to distribute skimmer (aka formjacking) campaigns. In skimmer attacks cybercriminals inject malicious JavaScript code to hack a website and take over the functionality of the site’s HTML form page to collect sensitive user information.",MEDIUM,06/Jan/2022,Yes
Zloader Banking Malware Campaign,Checkpoint,https://research.checkpoint.com/2022/can-you-trust-a-files-digital-signature-new-zloader-campaign-exploits-microsofts-signature-verification-putting-users-at-risk/,"Checkpoint Research Team tracking Zloader campaign and identified an evidence of the new campaign was first seen around early November 2021. The techniques incorporated in the infection chain include the use of legitimate remote management software (RMM) to gain initial access to the target machine.",MEDIUM,05/Jan/2022,Yes
TA551 IcedID,Palo Alto,https://github.com/pan-unit42/tweets/blob/master/2022-01-05-IOCs-for-TA551-IcedID-with-Cobalt-Strike.txt,"Palo Alto Unit42 Researchers has tracked TA551 activity, where threat actor using Word documents with both German templates and Italian templates. Later deliverying IcedID malware.",MEDIUM,06/Jan/2022,Yes
VMware Horizon Exploitation Using Log4J,STR,STR Repository,This research is part of Securonix Threat Labs - Threat Research Team,HIGH,11/Jan/2022,Yes
Patchwork APT,MalwareBytes,https://blog.malwarebytes.com/threat-intelligence/2022/01/patchwork-apt-caught-in-its-own-web/,MalwareBytes labs has analysed a campaign where Patchwork APT has used malicious RTF files to drop a variant of the BADNEWS Remote Administration Trojan (RAT).,LOW,12/Jan/2022,Yes
